split,seed,arm,train_detector,eval_detector,partition,relation,mpjpe_mm,pa_mpjpe_mm,samples,best_epoch,epochs_completed
split_c,123,bounded_reliability_dual_modulation,rtmpose_performance,yolo11l_pose,test,cross,160.9333857801595,106.12430910393819,20060,26,34
split_c,123,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,val,cross,167.4375666988515,111.90601417191787,19678,26,34
split_c,123,bounded_reliability_dual_modulation,yolo11l_pose,rtmpose_performance,test,cross,184.48267696909272,120.30949417372881,20060,26,34
split_c,123,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,val,matched,123.8184290514788,83.33316354240776,19678,26,34
split_c,123,bounded_reliability_dual_modulation,yolo11l_pose,yolo11l_pose,test,matched,134.2013412886341,89.2191160892323,20060,26,34
split_c,123,detector_aware_observed,rtmpose_performance,rtmpose_performance,val,matched,111.79498281710539,76.21600343657892,19678,32,40
split_c,123,detector_aware_observed,rtmpose_performance,rtmpose_performance,test,matched,127.96612194666002,82.65829308948156,20060,32,40
split_c,123,detector_aware_observed,rtmpose_performance,yolo11l_pose,val,cross,126.15063935613375,84.99231772156723,19678,32,40
split_c,123,detector_aware_observed,rtmpose_performance,yolo11l_pose,test,cross,139.3062795987039,90.8765313434696,20060,32,40
split_c,123,detector_aware_observed,yolo11l_pose,rtmpose_performance,val,cross,122.47022769717451,83.04937144272792,19678,44,50
split_c,123,detector_aware_observed,yolo11l_pose,rtmpose_performance,test,cross,139.27085150797606,87.30154536390828,20060,44,50
split_c,123,detector_aware_observed,yolo11l_pose,yolo11l_pose,val,matched,122.77087912262425,84.59918198622827,19678,44,50
split_c,123,detector_aware_observed,yolo11l_pose,yolo11l_pose,test,matched,137.39261356555335,89.32828078265204,20060,44,50
split_c,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,val,matched,113.59460199842464,76.72211829200121,19678,26,34
split_c,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,rtmpose_performance,test,matched,126.1060248940678,81.12037013958125,20060,26,34
split_c,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,val,cross,127.78633022918996,85.72345941533692,19678,26,34
split_c,123,detector_conditioned_virtual_view_no_confidence,rtmpose_performance,yolo11l_pose,test,cross,138.56307951146562,90.07605698529412,20060,26,34
split_c,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,val,cross,124.3632768828133,83.57134871430023,19678,15,23
split_c,123,detector_conditioned_virtual_view_no_confidence,yolo11l_pose,rtmpose_performance,test,cross,138.89384346959122,90.16547077517447,20060,15,23
