subject,split,seed,detector,arm,valid_frames,detector_success_rate,MPJPE_mm,PA_MPJPE_mm,3DPCK_at_150mm_pct,AUC_0_to_150mm_pct
TS6,split_b,123,rtmpose_performance,bounded_reliability_observed_modulation,392,1.0,132.8242645263672,108.67376708984375,72.81341107871721,35.87710429794038
TS1,split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,603,1.0,91.55162811279297,54.071533203125,85.5484482350154,44.52927375411729
TS2,split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,540,1.0,119.50762176513672,71.58190155029297,72.42063492063492,34.501621437105314
TS3,split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,506,1.0,117.82022857666016,69.31576538085938,72.67080745341616,34.0558459773046
TS4,split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,558,1.0,136.36001586914062,82.42118072509766,66.69226830517154,30.959813686140436
TS5,split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,276,1.0,127.36518096923828,84.2695541381836,69.46169772256728,33.345021037868165
TS6,split_b,123,rtmpose_performance,bounded_reliability_dual_modulation,392,1.0,129.71926879882812,104.5689468383789,73.46938775510205,37.52703846515565
TS1,split_b,123,yolo11l_pose,detector_aware_observed,603,1.0,99.32489013671875,60.682437896728516,81.09452736318407,43.16818365927658
TS2,split_b,123,yolo11l_pose,detector_aware_observed,540,1.0,129.07081604003906,83.70315551757812,70.31746031746032,33.60300392558456
TS3,split_b,123,yolo11l_pose,detector_aware_observed,506,1.0,130.30857849121094,80.16759490966797,69.43817052512705,32.75760004371505
TS4,split_b,123,yolo11l_pose,detector_aware_observed,558,1.0,151.6187286376953,92.91017150878906,62.26318484383001,28.696959186033066
TS5,split_b,123,yolo11l_pose,detector_aware_observed,276,1.0,138.84498596191406,88.41455078125,66.07142857142857,31.019167835437116
TS6,split_b,123,yolo11l_pose,detector_aware_observed,392,1.0,139.95346069335938,114.36254119873047,69.56997084548105,34.19307815292016
TS1,split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,603,1.0,104.26764678955078,62.06580352783203,79.05709547500592,40.677182444154035
TS2,split_b,123,yolo11l_pose,detector_conditioned_virtual_view_no_confidence,540,1.0,135.76797485351562,82.65170288085938,67.98941798941799,30.858508277863123
